JRV,ORIGEN,CANDIDATO_RUBRO,VOTOS
5605,TREP,GRAN TOTAL,212
5783,ESCRUTINIO,DC,1
5783,ESCRUTINIO,PINU,4
5783,ESCRUTINIO,P. LIBERAL,121
5783,ESCRUTINIO,LIBRE,22
5783,ESCRUTINIO,P. NACIONAL,62
5783,ESCRUTINIO,VOTOS BLANCOS,2
5783,ESCRUTINIO,VOTOS NULOS,3
5783,ESCRUTINIO,GRAN TOTAL,215
5783,TREP,DC,1
5783,TREP,PINU,4
5783,TREP,P. LIBERAL,121
5783,TREP,LIBRE,22
5783,TREP,P. NACIONAL,62
5783,TREP,VOTOS BLANCOS,2
5783,TREP,VOTOS NULOS,3
5783,TREP,GRAN TOTAL,215
5928,ESCRUTINIO,DC,1
5928,ESCRUTINIO,PINU,2
5928,ESCRUTINIO,P. LIBERAL,189
5928,ESCRUTINIO,LIBRE,6
5928,ESCRUTINIO,P. NACIONAL,36
5928,ESCRUTINIO,VOTOS BLANCOS,3
5928,ESCRUTINIO,VOTOS NULOS,4
5928,ESCRUTINIO,GRAN TOTAL,241
5928,TREP,DC,1
5928,TREP,PINU,2
5928,TREP,P. LIBERAL,189
5928,TREP,LIBRE,6
5928,TREP,P. NACIONAL,36
5928,TREP,VOTOS BLANCOS,3
5928,TREP,VOTOS NULOS,4
5928,TREP,GRAN TOTAL,241
6433,ESCRUTINIO,DC,0
6433,ESCRUTINIO,PINU,1
6433,ESCRUTINIO,P. LIBERAL,106
6433,ESCRUTINIO,LIBRE,32
6433,ESCRUTINIO,P. NACIONAL,33
6433,ESCRUTINIO,VOTOS BLANCOS,2
6433,ESCRUTINIO,VOTOS NULOS,2
6433,ESCRUTINIO,GRAN TOTAL,176
6433,TREP,DC,0
6433,TREP,PINU,1
6433,TREP,P. LIBERAL,106
6433,TREP,LIBRE,32
6433,TREP,P. NACIONAL,33
6433,TREP,VOTOS BLANCOS,2
6433,TREP,VOTOS NULOS,2
6433,TREP,GRAN TOTAL,176
7012,ESCRUTINIO,DC,0
7012,ESCRUTINIO,PINU,0
7012,ESCRUTINIO,P. LIBERAL,121
7012,ESCRUTINIO,LIBRE,21
7012,ESCRUTINIO,P. NACIONAL,72
7012,ESCRUTINIO,VOTOS BLANCOS,1
7012,ESCRUTINIO,VOTOS NULOS,0
7012,ESCRUTINIO,GRAN TOTAL,215
7012,TREP,DC,0
7012,TREP,PINU,0
7012,TREP,P. LIBERAL,121
7012,TREP,LIBRE,21
7012,TREP,P. NACIONAL,72
7012,TREP,VOTOS BLANCOS,1
7012,TREP,VOTOS NULOS,0
7012,TREP,GRAN TOTAL,215
7041,ESCRUTINIO,DC,0
7041,ESCRUTINIO,PINU,1
7041,ESCRUTINIO,P. LIBERAL,105
7041,ESCRUTINIO,LIBRE,55
7041,ESCRUTINIO,P. NACIONAL,74
7041,ESCRUTINIO,VOTOS BLANCOS,3
7041,ESCRUTINIO,VOTOS NULOS,3
7041,ESCRUTINIO,GRAN TOTAL,241
7041,TREP,DC,0
7041,TREP,PINU,1
7041,TREP,P. LIBERAL,105
7041,TREP,LIBRE,55
7041,TREP,P. NACIONAL,74
7041,TREP,VOTOS BLANCOS,3
7041,TREP,VOTOS NULOS,3
7041,TREP,GRAN TOTAL,241
7042,ESCRUTINIO,DC,0
7042,ESCRUTINIO,PINU,3
7042,ESCRUTINIO,P. LIBERAL,110
7042,ESCRUTINIO,LIBRE,43
7042,ESCRUTINIO,P. NACIONAL,75
7042,ESCRUTINIO,VOTOS BLANCOS,1
7042,ESCRUTINIO,VOTOS NULOS,4
7042,ESCRUTINIO,GRAN TOTAL,236
7042,TREP,DC,0
7042,TREP,PINU,3
7042,TREP,P. LIBERAL,110
7042,TREP,LIBRE,43
7042,TREP,P. NACIONAL,75
7042,TREP,VOTOS BLANCOS,1
7042,TREP,VOTOS NULOS,4
7042,TREP,GRAN TOTAL,236
7061,ESCRUTINIO,DC,0
7061,ESCRUTINIO,PINU,1
7061,ESCRUTINIO,P. LIBERAL,117
7061,ESCRUTINIO,LIBRE,33
7061,ESCRUTINIO,P. NACIONAL,57
7061,ESCRUTINIO,VOTOS BLANCOS,0
7061,ESCRUTINIO,VOTOS NULOS,0
7061,ESCRUTINIO,GRAN TOTAL,208
7061,TREP,DC,0
7061,TREP,PINU,1
7061,TREP,P. LIBERAL,117
7061,TREP,LIBRE,33
7061,TREP,P. NACIONAL,57
7061,TREP,VOTOS BLANCOS,0
7061,TREP,VOTOS NULOS,0
7061,TREP,GRAN TOTAL,208
7107,ESCRUTINIO,DC,0
7107,ESCRUTINIO,PINU,0
7107,ESCRUTINIO,P. LIBERAL,100
7107,ESCRUTINIO,LIBRE,47
7107,ESCRUTINIO,P. NACIONAL,68
7107,ESCRUTINIO,VOTOS BLANCOS,2
7107,ESCRUTINIO,VOTOS NULOS,2
7107,ESCRUTINIO,GRAN TOTAL,219
7107,TREP,DC,0
7107,TREP,PINU,0
7107,TREP,P. LIBERAL,100
7107,TREP,LIBRE,47
7107,TREP,P. NACIONAL,68
7107,TREP,VOTOS BLANCOS,2
7107,TREP,VOTOS NULOS,2
7107,TREP,GRAN TOTAL,219
7217,ESCRUTINIO,DC,0
7217,ESCRUTINIO,PINU,0
7217,ESCRUTINIO,P. LIBERAL,0
7217,ESCRUTINIO,LIBRE,0
7217,ESCRUTINIO,P. NACIONAL,0
7217,ESCRUTINIO,VOTOS BLANCOS,0
7217,ESCRUTINIO,VOTOS NULOS,3
7217,ESCRUTINIO,GRAN TOTAL,3
7217,TREP,DC,0
7217,TREP,PINU,1
7217,TREP,P. LIBERAL,87
7217,TREP,LIBRE,26
7217,TREP,P. NACIONAL,66
7217,TREP,VOTOS BLANCOS,0
7217,TREP,VOTOS NULOS,3
7217,TREP,GRAN TOTAL,183
7966,ESCRUTINIO,DC,0
7966,ESCRUTINIO,PINU,2
7966,ESCRUTINIO,P. LIBERAL,65
7966,ESCRUTINIO,LIBRE,42
7966,ESCRUTINIO,P. NACIONAL,109
7966,ESCRUTINIO,VOTOS BLANCOS,0
7966,ESCRUTINIO,VOTOS NULOS,0
7966,ESCRUTINIO,GRAN TOTAL,218
7966,TREP,DC,0
7966,TREP,PINU,2
7966,TREP,P. LIBERAL,65
7966,TREP,LIBRE,42
7966,TREP,P. NACIONAL,109
7966,TREP,VOTOS BLANCOS,0
7966,TREP,VOTOS NULOS,0
7966,TREP,GRAN TOTAL,218
8726,ESCRUTINIO,DC,0
8726,ESCRUTINIO,PINU,0
8726,ESCRUTINIO,P. LIBERAL,83
8726,ESCRUTINIO,LIBRE,12
8726,ESCRUTINIO,P. NACIONAL,75
8726,ESCRUTINIO,VOTOS BLANCOS,1
8726,ESCRUTINIO,VOTOS NULOS,0
8726,ESCRUTINIO,GRAN TOTAL,171
8726,TREP,DC,0
8726,TREP,PINU,0
8726,TREP,P. LIBERAL,83
8726,TREP,LIBRE,12
8726,TREP,P. NACIONAL,75
8726,TREP,VOTOS BLANCOS,1
8726,TREP,VOTOS NULOS,0
8726,TREP,GRAN TOTAL,171
9266,ESCRUTINIO,DC,0
9266,ESCRUTINIO,PINU,2
9266,ESCRUTINIO,P. LIBERAL,50
9266,ESCRUTINIO,LIBRE,60
9266,ESCRUTINIO,P. NACIONAL,100
9266,ESCRUTINIO,VOTOS BLANCOS,0
9266,ESCRUTINIO,VOTOS NULOS,3
9266,ESCRUTINIO,GRAN TOTAL,215
9266,TREP,DC,0
9266,TREP,PINU,2
9266,TREP,P. LIBERAL,50
9266,TREP,LIBRE,60
9266,TREP,P. NACIONAL,100
9266,TREP,VOTOS BLANCOS,0
9266,TREP,VOTOS NULOS,3
9266,TREP,GRAN TOTAL,215
9356,ESCRUTINIO,DC,1
9356,ESCRUTINIO,PINU,5
9356,ESCRUTINIO,P. LIBERAL,69
9356,ESCRUTINIO,LIBRE,43
9356,ESCRUTINIO,P. NACIONAL,106
9356,ESCRUTINIO,VOTOS BLANCOS,0
9356,ESCRUTINIO,VOTOS NULOS,3
9356,ESCRUTINIO,GRAN TOTAL,227
9356,TREP,DC,1
9356,TREP,PINU,5
9356,TREP,P. LIBERAL,69
9356,TREP,LIBRE,43
9356,TREP,P. NACIONAL,106
9356,TREP,VOTOS BLANCOS,0
9356,TREP,VOTOS NULOS,3
9356,TREP,GRAN TOTAL,227
9357,ESCRUTINIO,DC,0
9357,ESCRUTINIO,PINU,0
9357,ESCRUTINIO,P. LIBERAL,70
9357,ESCRUTINIO,LIBRE,32
9357,ESCRUTINIO,P. NACIONAL,106
9357,ESCRUTINIO,VOTOS BLANCOS,1
9357,ESCRUTINIO,VOTOS NULOS,3
9357,ESCRUTINIO,GRAN TOTAL,212
9357,TREP,DC,0
9357,TREP,PINU,0
9357,TREP,P. LIBERAL,70
9357,TREP,LIBRE,32
9357,TREP,P. NACIONAL,106
9357,TREP,VOTOS BLANCOS,1
9357,TREP,VOTOS NULOS,3
9357,TREP,GRAN TOTAL,212
9551,ESCRUTINIO,DC,1
9551,ESCRUTINIO,PINU,4
9551,ESCRUTINIO,P. LIBERAL,109
9551,ESCRUTINIO,LIBRE,45
9551,ESCRUTINIO,P. NACIONAL,62
9551,ESCRUTINIO,VOTOS BLANCOS,0
9551,ESCRUTINIO,VOTOS NULOS,3
9551,ESCRUTINIO,GRAN TOTAL,224
9551,TREP,DC,1
9551,TREP,PINU,4
9551,TREP,P. LIBERAL,109
9551,TREP,LIBRE,45
9551,TREP,P. NACIONAL,62
9551,TREP,VOTOS BLANCOS,0
9551,TREP,VOTOS NULOS,3
9551,TREP,GRAN TOTAL,224
9700,ESCRUTINIO,DC,0
9700,ESCRUTINIO,PINU,2
9700,ESCRUTINIO,P. LIBERAL,88
9700,ESCRUTINIO,LIBRE,39
9700,ESCRUTINIO,P. NACIONAL,114
9700,ESCRUTINIO,VOTOS BLANCOS,0
9700,ESCRUTINIO,VOTOS NULOS,4
9700,ESCRUTINIO,GRAN TOTAL,247
9700,TREP,DC,0
9700,TREP,PINU,2
9700,TREP,P. LIBERAL,88
9700,TREP,LIBRE,39
9700,TREP,P. NACIONAL,114
9700,TREP,VOTOS BLANCOS,0
9700,TREP,VOTOS NULOS,4
9700,TREP,GRAN TOTAL,247
9890,ESCRUTINIO,DC,1
9890,ESCRUTINIO,PINU,5
9890,ESCRUTINIO,P. LIBERAL,75
9890,ESCRUTINIO,LIBRE,71
9890,ESCRUTINIO,P. NACIONAL,81
9890,ESCRUTINIO,VOTOS BLANCOS,4
9890,ESCRUTINIO,VOTOS NULOS,2
9890,ESCRUTINIO,GRAN TOTAL,239
9890,TREP,DC,1
9890,TREP,PINU,5
9890,TREP,P. LIBERAL,75
9890,TREP,LIBRE,71
9890,TREP,P. NACIONAL,81
9890,TREP,VOTOS BLANCOS,4
9890,TREP,VOTOS NULOS,2
9890,TREP,GRAN TOTAL,239
9930,ESCRUTINIO,DC,0
9930,ESCRUTINIO,PINU,4
9930,ESCRUTINIO,P. LIBERAL,55
9930,ESCRUTINIO,LIBRE,35
9930,ESCRUTINIO,P. NACIONAL,88
9930,ESCRUTINIO,VOTOS BLANCOS,1
9930,ESCRUTINIO,VOTOS NULOS,4
9930,ESCRUTINIO,GRAN TOTAL,187
9930,TREP,DC,0
9930,TREP,PINU,4
9930,TREP,P. LIBERAL,55
9930,TREP,LIBRE,35
9930,TREP,P. NACIONAL,88
9930,TREP,VOTOS BLANCOS,1
9930,TREP,VOTOS NULOS,4
9930,TREP,GRAN TOTAL,187
9947,ESCRUTINIO,DC,1
9947,ESCRUTINIO,PINU,1
9947,ESCRUTINIO,P. LIBERAL,110
9947,ESCRUTINIO,LIBRE,44
9947,ESCRUTINIO,P. NACIONAL,74
9947,ESCRUTINIO,VOTOS BLANCOS,0
9947,ESCRUTINIO,VOTOS NULOS,1
9947,ESCRUTINIO,GRAN TOTAL,231
9947,TREP,DC,1
9947,TREP,PINU,1
9947,TREP,P. LIBERAL,110
9947,TREP,LIBRE,44
9947,TREP,P. NACIONAL,72
9947,TREP,VOTOS BLANCOS,0
9947,TREP,VOTOS NULOS,1
9947,TREP,GRAN TOTAL,229
9984,ESCRUTINIO,DC,0
9984,ESCRUTINIO,PINU,0
9984,ESCRUTINIO,P. LIBERAL,0
9984,ESCRUTINIO,LIBRE,0
9984,ESCRUTINIO,P. NACIONAL,0
9984,ESCRUTINIO,VOTOS BLANCOS,0
9984,ESCRUTINIO,VOTOS NULOS,0
9984,ESCRUTINIO,GRAN TOTAL,0
9984,TREP,DC,0
9984,TREP,PINU,2
9984,TREP,P. LIBERAL,65
9984,TREP,LIBRE,60
9984,TREP,P. NACIONAL,99
9984,TREP,VOTOS BLANCOS,0
9984,TREP,VOTOS NULOS,4
9984,TREP,GRAN TOTAL,230
10013,ESCRUTINIO,DC,0
10013,ESCRUTINIO,PINU,5
10013,ESCRUTINIO,P. LIBERAL,83
10013,ESCRUTINIO,LIBRE,48
10013,ESCRUTINIO,P. NACIONAL,95
10013,ESCRUTINIO,VOTOS BLANCOS,0
10013,ESCRUTINIO,VOTOS NULOS,4
10013,ESCRUTINIO,GRAN TOTAL,235
10013,TREP,DC,0
10013,TREP,PINU,5
10013,TREP,P. LIBERAL,83
10013,TREP,LIBRE,48
10013,TREP,P. NACIONAL,95
10013,TREP,VOTOS BLANCOS,0
10013,TREP,VOTOS NULOS,4
10013,TREP,GRAN TOTAL,235
10103,ESCRUTINIO,DC,0
10103,ESCRUTINIO,PINU,7
10103,ESCRUTINIO,P. LIBERAL,124
10103,ESCRUTINIO,LIBRE,28
10103,ESCRUTINIO,P. NACIONAL,95
10103,ESCRUTINIO,VOTOS BLANCOS,0
10103,ESCRUTINIO,VOTOS NULOS,3
10103,ESCRUTINIO,GRAN TOTAL,257
10103,TREP,DC,0
10103,TREP,PINU,7
10103,TREP,P. LIBERAL,124
10103,TREP,LIBRE,28
10103,TREP,P. NACIONAL,95
10103,TREP,VOTOS BLANCOS,0
10103,TREP,VOTOS NULOS,3
10103,TREP,GRAN TOTAL,257
10151,ESCRUTINIO,DC,0
10151,ESCRUTINIO,PINU,1
10151,ESCRUTINIO,P. LIBERAL,81
10151,ESCRUTINIO,LIBRE,54
10151,ESCRUTINIO,P. NACIONAL,69
10151,ESCRUTINIO,VOTOS BLANCOS,0
10151,ESCRUTINIO,VOTOS NULOS,1
10151,ESCRUTINIO,GRAN TOTAL,206
10151,TREP,DC,0
10151,TREP,PINU,1
10151,TREP,P. LIBERAL,81
10151,TREP,LIBRE,54
10151,TREP,P. NACIONAL,69
10151,TREP,VOTOS BLANCOS,0
10151,TREP,VOTOS NULOS,1
10151,TREP,GRAN TOTAL,206
10314,ESCRUTINIO,DC,0
10314,ESCRUTINIO,PINU,3
10314,ESCRUTINIO,P. LIBERAL,121
10314,ESCRUTINIO,LIBRE,44
10314,ESCRUTINIO,P. NACIONAL,74
10314,ESCRUTINIO,VOTOS BLANCOS,1
10314,ESCRUTINIO,VOTOS NULOS,2
10314,ESCRUTINIO,GRAN TOTAL,245
10314,TREP,DC,0
10314,TREP,PINU,3
10314,TREP,P. LIBERAL,121
10314,TREP,LIBRE,44
10314,TREP,P. NACIONAL,74
10314,TREP,VOTOS BLANCOS,1
10314,TREP,VOTOS NULOS,1
10314,TREP,GRAN TOTAL,244
10354,ESCRUTINIO,DC,0
10354,ESCRUTINIO,PINU,0
10354,ESCRUTINIO,P. LIBERAL,65
10354,ESCRUTINIO,LIBRE,43
10354,ESCRUTINIO,P. NACIONAL,148
10354,ESCRUTINIO,VOTOS BLANCOS,1
10354,ESCRUTINIO,VOTOS NULOS,6
10354,ESCRUTINIO,GRAN TOTAL,263
10354,TREP,DC,0
10354,TREP,PINU,0
10354,TREP,P. LIBERAL,65
10354,TREP,LIBRE,43
10354,TREP,P. NACIONAL,148
10354,TREP,VOTOS BLANCOS,1
10354,TREP,VOTOS NULOS,6
10354,TREP,GRAN TOTAL,263
10539,ESCRUTINIO,DC,0
10539,ESCRUTINIO,PINU,6
10539,ESCRUTINIO,P. LIBERAL,68
10539,ESCRUTINIO,LIBRE,80
10539,ESCRUTINIO,P. NACIONAL,71
10539,ESCRUTINIO,VOTOS BLANCOS,0
10539,ESCRUTINIO,VOTOS NULOS,2
10539,ESCRUTINIO,GRAN TOTAL,227
10539,TREP,DC,0
10539,TREP,PINU,6
10539,TREP,P. LIBERAL,68
10539,TREP,LIBRE,80
10539,TREP,P. NACIONAL,71
10539,TREP,VOTOS BLANCOS,0
10539,TREP,VOTOS NULOS,2
10539,TREP,GRAN TOTAL,227
10572,ESCRUTINIO,DC,0
10572,ESCRUTINIO,PINU,4
10572,ESCRUTINIO,P. LIBERAL,138
10572,ESCRUTINIO,LIBRE,26
10572,ESCRUTINIO,P. NACIONAL,66
10572,ESCRUTINIO,VOTOS BLANCOS,0
10572,ESCRUTINIO,VOTOS NULOS,0
10572,ESCRUTINIO,GRAN TOTAL,234
10572,TREP,DC,0
10572,TREP,PINU,4
10572,TREP,P. LIBERAL,138
10572,TREP,LIBRE,26
10572,TREP,P. NACIONAL,66
10572,TREP,VOTOS BLANCOS,0
10572,TREP,VOTOS NULOS,0
10572,TREP,GRAN TOTAL,234
10629,ESCRUTINIO,DC,0
10629,ESCRUTINIO,PINU,12
10629,ESCRUTINIO,P. LIBERAL,90
10629,ESCRUTINIO,LIBRE,64
10629,ESCRUTINIO,P. NACIONAL,101
10629,ESCRUTINIO,VOTOS BLANCOS,0
10629,ESCRUTINIO,VOTOS NULOS,4
10629,ESCRUTINIO,GRAN TOTAL,271
10629,TREP,DC,0
10629,TREP,PINU,12
10629,TREP,P. LIBERAL,90
10629,TREP,LIBRE,64
10629,TREP,P. NACIONAL,101
10629,TREP,VOTOS BLANCOS,0
10629,TREP,VOTOS NULOS,4
10629,TREP,GRAN TOTAL,271
10645,ESCRUTINIO,DC,0
10645,ESCRUTINIO,PINU,7
10645,ESCRUTINIO,P. LIBERAL,82
10645,ESCRUTINIO,LIBRE,52
10645,ESCRUTINIO,P. NACIONAL,81
10645,ESCRUTINIO,VOTOS BLANCOS,0
10645,ESCRUTINIO,VOTOS NULOS,1
10645,ESCRUTINIO,GRAN TOTAL,223
10645,TREP,DC,0
10645,TREP,PINU,7
10645,TREP,P. LIBERAL,82
10645,TREP,LIBRE,52
10645,TREP,P. NACIONAL,81
10645,TREP,VOTOS BLANCOS,0
10645,TREP,VOTOS NULOS,1
10645,TREP,GRAN TOTAL,223
10666,ESCRUTINIO,DC,0
10666,ESCRUTINIO,PINU,15
10666,ESCRUTINIO,P. LIBERAL,118
10666,ESCRUTINIO,LIBRE,43
10666,ESCRUTINIO,P. NACIONAL,74
10666,ESCRUTINIO,VOTOS BLANCOS,0
10666,ESCRUTINIO,VOTOS NULOS,2
10666,ESCRUTINIO,GRAN TOTAL,252
10666,TREP,DC,0
10666,TREP,PINU,15
10666,TREP,P. LIBERAL,118
10666,TREP,LIBRE,43
10666,TREP,P. NACIONAL,74
10666,TREP,VOTOS BLANCOS,0
10666,TREP,VOTOS NULOS,2
10666,TREP,GRAN TOTAL,252
10708,ESCRUTINIO,DC,0
10708,ESCRUTINIO,PINU,11
10708,ESCRUTINIO,P. LIBERAL,122
10708,ESCRUTINIO,LIBRE,37
10708,ESCRUTINIO,P. NACIONAL,94
10708,ESCRUTINIO,VOTOS BLANCOS,0
10708,ESCRUTINIO,VOTOS NULOS,3
10708,ESCRUTINIO,GRAN TOTAL,267
10708,TREP,DC,0
10708,TREP,PINU,11
10708,TREP,P. LIBERAL,122
10708,TREP,LIBRE,37
10708,TREP,P. NACIONAL,94
10708,TREP,VOTOS BLANCOS,0
10708,TREP,VOTOS NULOS,3
10708,TREP,GRAN TOTAL,267
10709,ESCRUTINIO,DC,0
10709,ESCRUTINIO,PINU,8
10709,ESCRUTINIO,P. LIBERAL,123
10709,ESCRUTINIO,LIBRE,33
10709,ESCRUTINIO,P. NACIONAL,80
10709,ESCRUTINIO,VOTOS BLANCOS,0
10709,ESCRUTINIO,VOTOS NULOS,3
10709,ESCRUTINIO,GRAN TOTAL,247
10709,TREP,DC,0
10709,TREP,PINU,8
10709,TREP,P. LIBERAL,123
10709,TREP,LIBRE,33
10709,TREP,P. NACIONAL,80
10709,TREP,VOTOS BLANCOS,0
10709,TREP,VOTOS NULOS,3
10709,TREP,GRAN TOTAL,247
10936,ESCRUTINIO,DC,0
10936,ESCRUTINIO,PINU,2
10936,ESCRUTINIO,P. LIBERAL,92
10936,ESCRUTINIO,LIBRE,26
10936,ESCRUTINIO,P. NACIONAL,73
10936,ESCRUTINIO,VOTOS BLANCOS,2
10936,ESCRUTINIO,VOTOS NULOS,1
10936,ESCRUTINIO,GRAN TOTAL,196
10936,TREP,DC,0
10936,TREP,PINU,2
10936,TREP,P. LIBERAL,92
10936,TREP,LIBRE,26
10936,TREP,P. NACIONAL,73
10936,TREP,VOTOS BLANCOS,2
10936,TREP,VOTOS NULOS,1
10936,TREP,GRAN TOTAL,196
10953,ESCRUTINIO,DC,4
10953,ESCRUTINIO,PINU,5
10953,ESCRUTINIO,P. LIBERAL,72
10953,ESCRUTINIO,LIBRE,33
10953,ESCRUTINIO,P. NACIONAL,114
10953,ESCRUTINIO,VOTOS BLANCOS,0
10953,ESCRUTINIO,VOTOS NULOS,4
10953,ESCRUTINIO,GRAN TOTAL,232
10953,TREP,DC,4
10953,TREP,PINU,5
10953,TREP,P. LIBERAL,72
10953,TREP,LIBRE,33
10953,TREP,P. NACIONAL,114
10953,TREP,VOTOS BLANCOS,0
10953,TREP,VOTOS NULOS,4
10953,TREP,GRAN TOTAL,232
11049,ESCRUTINIO,DC,0
11049,ESCRUTINIO,PINU,4
11049,ESCRUTINIO,P. LIBERAL,70
11049,ESCRUTINIO,LIBRE,41
11049,ESCRUTINIO,P. NACIONAL,113
11049,ESCRUTINIO,VOTOS BLANCOS,0
11049,ESCRUTINIO,VOTOS NULOS,2
11049,ESCRUTINIO,GRAN TOTAL,230
11049,TREP,DC,0
11049,TREP,PINU,4
11049,TREP,P. LIBERAL,70
11049,TREP,LIBRE,41
11049,TREP,P. NACIONAL,113
11049,TREP,VOTOS BLANCOS,0
11049,TREP,VOTOS NULOS,2
11049,TREP,GRAN TOTAL,230
11058,ESCRUTINIO,DC,0
11058,ESCRUTINIO,PINU,5
11058,ESCRUTINIO,P. LIBERAL,74
11058,ESCRUTINIO,LIBRE,63
11058,ESCRUTINIO,P. NACIONAL,96
11058,ESCRUTINIO,VOTOS BLANCOS,1
11058,ESCRUTINIO,VOTOS NULOS,3
11058,ESCRUTINIO,GRAN TOTAL,242
11058,TREP,DC,0
11058,TREP,PINU,5
11058,TREP,P. LIBERAL,74
11058,TREP,LIBRE,63
11058,TREP,P. NACIONAL,96
11058,TREP,VOTOS BLANCOS,1
11058,TREP,VOTOS NULOS,3
11058,TREP,GRAN TOTAL,242
11060,ESCRUTINIO,DC,0
11060,ESCRUTINIO,PINU,3
11060,ESCRUTINIO,P. LIBERAL,92
11060,ESCRUTINIO,LIBRE,54
11060,ESCRUTINIO,P. NACIONAL,81
11060,ESCRUTINIO,VOTOS BLANCOS,0
11060,ESCRUTINIO,VOTOS NULOS,21
11060,ESCRUTINIO,GRAN TOTAL,251
11060,TREP,DC,0
11060,TREP,PINU,3
11060,TREP,P. LIBERAL,92
11060,TREP,LIBRE,54
11060,TREP,P. NACIONAL,81
11060,TREP,VOTOS BLANCOS,0
11060,TREP,VOTOS NULOS,21
11060,TREP,GRAN TOTAL,251
11272,ESCRUTINIO,DC,0
11272,ESCRUTINIO,PINU,2
11272,ESCRUTINIO,P. LIBERAL,55
11272,ESCRUTINIO,LIBRE,27
11272,ESCRUTINIO,P. NACIONAL,87
11272,ESCRUTINIO,VOTOS BLANCOS,0
11272,ESCRUTINIO,VOTOS NULOS,7
11272,ESCRUTINIO,GRAN TOTAL,178
11272,TREP,DC,0
11272,TREP,PINU,2
11272,TREP,P. LIBERAL,55
11272,TREP,LIBRE,27
11272,TREP,P. NACIONAL,87
11272,TREP,VOTOS BLANCOS,0
11272,TREP,VOTOS NULOS,7
11272,TREP,GRAN TOTAL,178
11347,ESCRUTINIO,DC,1
11347,ESCRUTINIO,PINU,2
11347,ESCRUTINIO,P. LIBERAL,78
11347,ESCRUTINIO,LIBRE,35
11347,ESCRUTINIO,P. NACIONAL,127
11347,ESCRUTINIO,VOTOS BLANCOS,1
11347,ESCRUTINIO,VOTOS NULOS,3
11347,ESCRUTINIO,GRAN TOTAL,247
11347,TREP,DC,1
11347,TREP,PINU,2
11347,TREP,P. LIBERAL,78
11347,TREP,LIBRE,35
11347,TREP,P. NACIONAL,127
11347,TREP,VOTOS BLANCOS,1
11347,TREP,VOTOS NULOS,3
11347,TREP,GRAN TOTAL,247
11598,ESCRUTINIO,DC,0
11598,ESCRUTINIO,PINU,2
11598,ESCRUTINIO,P. LIBERAL,63
11598,ESCRUTINIO,LIBRE,29
11598,ESCRUTINIO,P. NACIONAL,93
11598,ESCRUTINIO,VOTOS BLANCOS,0
11598,ESCRUTINIO,VOTOS NULOS,1
11598,ESCRUTINIO,GRAN TOTAL,188
11598,TREP,DC,0
11598,TREP,PINU,2
11598,TREP,P. LIBERAL,63
11598,TREP,LIBRE,29
11598,TREP,P. NACIONAL,93
11598,TREP,VOTOS BLANCOS,0
11598,TREP,VOTOS NULOS,1
11598,TREP,GRAN TOTAL,188
12318,ESCRUTINIO,DC,1
12318,ESCRUTINIO,PINU,5
12318,ESCRUTINIO,P. LIBERAL,88
12318,ESCRUTINIO,LIBRE,62
12318,ESCRUTINIO,P. NACIONAL,80
12318,ESCRUTINIO,VOTOS BLANCOS,1
12318,ESCRUTINIO,VOTOS NULOS,4
12318,ESCRUTINIO,GRAN TOTAL,241
12318,TREP,DC,1
12318,TREP,PINU,5
12318,TREP,P. LIBERAL,88
12318,TREP,LIBRE,62
12318,TREP,P. NACIONAL,80
12318,TREP,VOTOS BLANCOS,1
12318,TREP,VOTOS NULOS,4
12318,TREP,GRAN TOTAL,241
12319,ESCRUTINIO,DC,1
12319,ESCRUTINIO,PINU,2
12319,ESCRUTINIO,P. LIBERAL,109
12319,ESCRUTINIO,LIBRE,37
12319,ESCRUTINIO,P. NACIONAL,87
12319,ESCRUTINIO,VOTOS BLANCOS,1
12319,ESCRUTINIO,VOTOS NULOS,5
12319,ESCRUTINIO,GRAN TOTAL,242
12319,TREP,DC,1
12319,TREP,PINU,2
12319,TREP,P. LIBERAL,109
12319,TREP,LIBRE,37
12319,TREP,P. NACIONAL,87
12319,TREP,VOTOS BLANCOS,1
12319,TREP,VOTOS NULOS,5
12319,TREP,GRAN TOTAL,242
12476,ESCRUTINIO,DC,0
12476,ESCRUTINIO,PINU,1
12476,ESCRUTINIO,P. LIBERAL,103
12476,ESCRUTINIO,LIBRE,48
12476,ESCRUTINIO,P. NACIONAL,91
12476,ESCRUTINIO,VOTOS BLANCOS,0
12476,ESCRUTINIO,VOTOS NULOS,4
12476,ESCRUTINIO,GRAN TOTAL,247
12476,TREP,DC,0
12476,TREP,PINU,1
12476,TREP,P. LIBERAL,101
12476,TREP,LIBRE,47
12476,TREP,P. NACIONAL,91
12476,TREP,VOTOS BLANCOS,1
12476,TREP,VOTOS NULOS,7
12476,TREP,GRAN TOTAL,248
12533,ESCRUTINIO,DC,1
12533,ESCRUTINIO,PINU,0
12533,ESCRUTINIO,P. LIBERAL,83
12533,ESCRUTINIO,LIBRE,52
12533,ESCRUTINIO,P. NACIONAL,88
12533,ESCRUTINIO,VOTOS BLANCOS,5
12533,ESCRUTINIO,VOTOS NULOS,6
12533,ESCRUTINIO,GRAN TOTAL,235
12533,TREP,DC,1
12533,TREP,PINU,0
12533,TREP,P. LIBERAL,83
12533,TREP,LIBRE,52
12533,TREP,P. NACIONAL,88
