JRV,ORIGEN,CANDIDATO_RUBRO,VOTOS
941,ESCRUTINIO,P. LIBERAL,54
941,ESCRUTINIO,LIBRE,34
941,ESCRUTINIO,P. NACIONAL,80
941,ESCRUTINIO,VOTOS BLANCOS,4
941,ESCRUTINIO,VOTOS NULOS,2
941,ESCRUTINIO,GRAN TOTAL,174
941,TREP,DC,0
941,TREP,PINU,0
941,TREP,P. LIBERAL,54
941,TREP,LIBRE,34
941,TREP,P. NACIONAL,80
941,TREP,VOTOS BLANCOS,4
941,TREP,VOTOS NULOS,2
941,TREP,GRAN TOTAL,174
958,ESCRUTINIO,DC,0
958,ESCRUTINIO,PINU,2
958,ESCRUTINIO,P. LIBERAL,63
958,ESCRUTINIO,LIBRE,50
958,ESCRUTINIO,P. NACIONAL,60
958,ESCRUTINIO,VOTOS BLANCOS,2
958,ESCRUTINIO,VOTOS NULOS,5
958,ESCRUTINIO,GRAN TOTAL,182
958,TREP,DC,0
958,TREP,PINU,2
958,TREP,P. LIBERAL,63
958,TREP,LIBRE,50
958,TREP,P. NACIONAL,60
958,TREP,VOTOS BLANCOS,2
958,TREP,VOTOS NULOS,5
958,TREP,GRAN TOTAL,182
1419,ESCRUTINIO,DC,0
1419,ESCRUTINIO,PINU,3
1419,ESCRUTINIO,P. LIBERAL,103
1419,ESCRUTINIO,LIBRE,30
1419,ESCRUTINIO,P. NACIONAL,57
1419,ESCRUTINIO,VOTOS BLANCOS,0
1419,ESCRUTINIO,VOTOS NULOS,2
1419,ESCRUTINIO,GRAN TOTAL,195
1419,TREP,DC,0
1419,TREP,PINU,3
1419,TREP,P. LIBERAL,103
1419,TREP,LIBRE,30
1419,TREP,P. NACIONAL,57
1419,TREP,VOTOS BLANCOS,0
1419,TREP,VOTOS NULOS,2
1419,TREP,GRAN TOTAL,195
1422,ESCRUTINIO,DC,0
1422,ESCRUTINIO,PINU,2
1422,ESCRUTINIO,P. LIBERAL,93
1422,ESCRUTINIO,LIBRE,47
1422,ESCRUTINIO,P. NACIONAL,51
1422,ESCRUTINIO,VOTOS BLANCOS,1
1422,ESCRUTINIO,VOTOS NULOS,1
1422,ESCRUTINIO,GRAN TOTAL,195
1422,TREP,DC,0
1422,TREP,PINU,2
1422,TREP,P. LIBERAL,93
1422,TREP,LIBRE,47
1422,TREP,P. NACIONAL,51
1422,TREP,VOTOS BLANCOS,1
1422,TREP,VOTOS NULOS,1
1422,TREP,GRAN TOTAL,195
1520,ESCRUTINIO,DC,0
1520,ESCRUTINIO,PINU,0
1520,ESCRUTINIO,P. LIBERAL,125
1520,ESCRUTINIO,LIBRE,40
1520,ESCRUTINIO,P. NACIONAL,39
1520,ESCRUTINIO,VOTOS BLANCOS,2
1520,ESCRUTINIO,VOTOS NULOS,5
1520,ESCRUTINIO,GRAN TOTAL,211
1520,TREP,DC,0
1520,TREP,PINU,0
1520,TREP,P. LIBERAL,125
1520,TREP,LIBRE,40
1520,TREP,P. NACIONAL,39
1520,TREP,VOTOS BLANCOS,2
1520,TREP,VOTOS NULOS,5
1520,TREP,GRAN TOTAL,211
2407,ESCRUTINIO,DC,0
2407,ESCRUTINIO,PINU,1
2407,ESCRUTINIO,P. LIBERAL,96
2407,ESCRUTINIO,LIBRE,19
2407,ESCRUTINIO,P. NACIONAL,77
2407,ESCRUTINIO,VOTOS BLANCOS,0
2407,ESCRUTINIO,VOTOS NULOS,5
2407,ESCRUTINIO,GRAN TOTAL,198
2407,TREP,DC,0
2407,TREP,PINU,1
2407,TREP,P. LIBERAL,96
2407,TREP,LIBRE,19
2407,TREP,P. NACIONAL,77
2407,TREP,VOTOS BLANCOS,0
2407,TREP,VOTOS NULOS,5
2407,TREP,GRAN TOTAL,198
3046,ESCRUTINIO,DC,1
3046,ESCRUTINIO,PINU,0
3046,ESCRUTINIO,P. LIBERAL,94
3046,ESCRUTINIO,LIBRE,29
3046,ESCRUTINIO,P. NACIONAL,60
3046,ESCRUTINIO,VOTOS BLANCOS,3
3046,ESCRUTINIO,VOTOS NULOS,10
3046,ESCRUTINIO,GRAN TOTAL,197
3046,TREP,DC,1
3046,TREP,PINU,0
3046,TREP,P. LIBERAL,94
3046,TREP,LIBRE,29
3046,TREP,P. NACIONAL,60
3046,TREP,VOTOS BLANCOS,3
3046,TREP,VOTOS NULOS,10
3046,TREP,GRAN TOTAL,197
3459,ESCRUTINIO,DC,0
3459,ESCRUTINIO,PINU,0
3459,ESCRUTINIO,P. LIBERAL,115
3459,ESCRUTINIO,LIBRE,20
3459,ESCRUTINIO,P. NACIONAL,61
3459,ESCRUTINIO,VOTOS BLANCOS,4
3459,ESCRUTINIO,VOTOS NULOS,5
3459,ESCRUTINIO,GRAN TOTAL,205
3459,TREP,DC,0
3459,TREP,PINU,0
3459,TREP,P. LIBERAL,115
3459,TREP,LIBRE,20
3459,TREP,P. NACIONAL,61
3459,TREP,VOTOS BLANCOS,4
