Fecha_Hora,Departamento,JRV,Nivel,Estado,Detalle
2026-02-07 08:49:00,COPAN,3459,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:49:04,COPAN,3459,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:49:09,CORTES,3736,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:49:13,CORTES,3736,DIPUTADOS,EXITO,Guardado en no_computadas
2026-02-07 08:49:17,CORTES,3736,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:49:21,CORTES,3747,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:49:31,CORTES,3747,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:49:35,CORTES,3747,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:49:39,CORTES,3752,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:49:49,CORTES,3752,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:49:53,CORTES,3752,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:49:57,CORTES,3753,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:50:07,CORTES,3753,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:50:11,CORTES,3753,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:50:15,CORTES,3754,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:50:25,CORTES,3754,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:50:29,CORTES,3754,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:50:33,CORTES,3764,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:50:43,CORTES,3764,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:50:47,CORTES,3764,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:50:51,CORTES,3850,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:51:00,CORTES,3850,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:51:04,CORTES,3850,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:51:08,CORTES,3914,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:51:18,CORTES,3914,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:51:22,CORTES,3914,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:51:26,CORTES,3917,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:51:36,CORTES,3917,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:51:40,CORTES,3917,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:51:44,CORTES,3919,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:51:54,CORTES,3919,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:51:58,CORTES,3919,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:52:03,CORTES,3978,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:52:12,CORTES,3978,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:52:16,CORTES,3978,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:52:21,CORTES,3980,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:52:30,CORTES,3980,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:52:34,CORTES,3980,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:52:38,CORTES,4330,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:52:48,CORTES,4330,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:52:52,CORTES,4330,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 08:52:56,CORTES,4389,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:53:06,CORTES,4389,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:53:10,CORTES,4389,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:53:14,CORTES,4828,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:53:23,CORTES,4828,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:53:27,CORTES,4828,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:53:31,CORTES,5325,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:53:40,CORTES,5325,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:53:45,CORTES,5325,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 08:53:49,CORTES,5350,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:53:58,CORTES,5350,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:54:02,CORTES,5350,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:54:06,CORTES,5373,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:54:16,CORTES,5373,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:54:20,CORTES,5373,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:54:24,CORTES,5426,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:54:34,CORTES,5426,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:54:38,CORTES,5426,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:54:42,CORTES,5441,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:54:52,CORTES,5441,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:54:56,CORTES,5441,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:55:00,CORTES,5442,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:55:12,CORTES,5442,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:55:16,CORTES,5442,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:55:21,CORTES,5445,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:55:31,CORTES,5445,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:55:35,CORTES,5445,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:55:40,CORTES,5446,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:55:50,CORTES,5446,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:55:55,CORTES,5446,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:55:59,CORTES,5448,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:56:08,CORTES,5448,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:56:12,CORTES,5448,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:56:16,CORTES,5449,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:56:26,CORTES,5449,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:56:30,CORTES,5449,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 08:56:34,CORTES,5450,PRESIDENTE,EXITO,Guardado en pdf
